filename,fold,target,category,esc10,src_file,take
1-11687-A-47.wav,1,47,airplane,FALSE,11687,A
1-24796-A-47.wav,1,47,airplane,FALSE,24796,A
1-36929-A-47.wav,1,47,airplane,FALSE,36929,A
1-43807-A-47.wav,1,47,airplane,FALSE,43807,A
1-43807-B-47.wav,1,47,airplane,FALSE,43807,B
1-43807-C-47.wav,1,47,airplane,FALSE,43807,C
1-43807-D-47.wav,1,47,airplane,FALSE,43807,D
1-53467-A-47.wav,1,47,airplane,FALSE,53467,A
2-105270-A-47.wav,2,47,airplane,FALSE,105270,A
2-106849-A-47.wav,2,47,airplane,FALSE,106849,A
2-160888-A-47.wav,2,47,airplane,FALSE,160888,A
2-74361-A-47.wav,2,47,airplane,FALSE,74361,A
2-78781-A-47.wav,2,47,airplane,FALSE,78781,A
2-78799-A-47.wav,2,47,airplane,FALSE,78799,A
2-96654-A-47.wav,2,47,airplane,FALSE,96654,A
2-98866-A-47.wav,2,47,airplane,FALSE,98866,A
3-115387-A-47.wav,3,47,airplane,FALSE,115387,A
3-115387-B-47.wav,3,47,airplane,FALSE,115387,B
3-115387-C-47.wav,3,47,airplane,FALSE,115387,C
3-128512-A-47.wav,3,47,airplane,FALSE,128512,A
3-128512-B-47.wav,3,47,airplane,FALSE,128512,B
3-143560-A-47.wav,3,47,airplane,FALSE,143560,A
3-143562-A-47.wav,3,47,airplane,FALSE,143562,A
3-193767-A-47.wav,3,47,airplane,FALSE,193767,A
4-161099-A-47.wav,4,47,airplane,FALSE,161099,A
4-161099-B-47.wav,4,47,airplane,FALSE,161099,B
4-161100-A-47.wav,4,47,airplane,FALSE,161100,A
4-161103-A-47.wav,4,47,airplane,FALSE,161103,A
4-161105-A-47.wav,4,47,airplane,FALSE,161105,A
4-161105-B-47.wav,4,47,airplane,FALSE,161105,B
4-251959-A-47.wav,4,47,airplane,FALSE,251959,A
4-255371-A-47.wav,4,47,airplane,FALSE,255371,A
5-215445-A-47.wav,5,47,airplane,FALSE,215445,A
5-215447-A-47.wav,5,47,airplane,FALSE,215447,A
5-215449-A-47.wav,5,47,airplane,FALSE,215449,A
5-235956-A-47.wav,5,47,airplane,FALSE,235956,A
5-251957-A-47.wav,5,47,airplane,FALSE,251957,A
5-251962-A-47.wav,5,47,airplane,FALSE,251962,A
5-251963-A-47.wav,5,47,airplane,FALSE,251963,A
5-251971-A-47.wav,5,47,airplane,FALSE,251971,A
1-18631-A-23.wav,1,23,breathing,FALSE,18631,A
1-30709-A-23.wav,1,23,breathing,FALSE,30709,A
1-30709-B-23.wav,1,23,breathing,FALSE,30709,B
1-30709-C-23.wav,1,23,breathing,FALSE,30709,C
1-36393-A-23.wav,1,23,breathing,FALSE,36393,A
1-36397-A-23.wav,1,23,breathing,FALSE,36397,A
1-36400-A-23.wav,1,23,breathing,FALSE,36400,A
1-36402-A-23.wav,1,23,breathing,FALSE,36402,A
2-50774-A-23.wav,2,23,breathing,FALSE,50774,A
2-54961-A-23.wav,2,23,breathing,FALSE,54961,A
2-54962-A-23.wav,2,23,breathing,FALSE,54962,A
2-66205-A-23.wav,2,23,breathing,FALSE,66205,A
2-82455-A-23.wav,2,23,breathing,FALSE,82455,A
2-84965-A-23.wav,2,23,breathing,FALSE,84965,A
2-95567-A-23.wav,2,23,breathing,FALSE,95567,A
2-98392-A-23.wav,2,23,breathing,FALSE,98392,A
3-108160-A-23.wav,3,23,breathing,FALSE,108160,A
3-112557-A-23.wav,3,23,breathing,FALSE,112557,A
3-112557-B-23.wav,3,23,breathing,FALSE,112557,B
